一	one
脇	armpit
脅	threaten
協	co-
行	going
律	rhythm
復	restore [going...double back (retrace one's course)]
得	gain
従	accompany
徒	junior
待	wait
往	journey
征	subjugate
径	diameter
彼	he
役	duty
徳	benevolence
徹	penetrate
徴	indications
懲	penal
微	delicate
街	boulevard
衡	equilibrium
稿	draft
稼	earnings
程	extent
税	tax
稚	immature
和	harmony
移	shift
秒	second
秋	autumn
愁	distress
私	private
秩	regularity
秘	secret
称	appelation
利	profit
梨	pear tree
穫	harvest
穂	ear of a plant
稲	rice plant
香	incense
季	seasons
委	committe
秀	excel
透	transparent
誘	entice
穀	cereals
菌	germ
米	rice (+*united states)
粉	flour
粘	sticky
粒	grains
粧	cosmetics
迷	astray
粋	chic (style)
糧	provisions
菊	chrysanthemum
奥	core
数	number
楼	watchtower
類	sort
漆	lacquer
様	Esq (sama)
求	request
球	ball
救	salvation
竹	bamboo
笑	laugh
笠	bamboo hat
笹	bamboo grass
筋	muscle
箱	box
筆	writing brush
筒	cylinder
等	etc.
算	calculate
答	solution
策	scheme
簿	register
築	fabricate
人	person
佐	assistant
但	however
住	dwell
位	rank
仲	go-between
体	body
悠	remote
件	affair
仕	attend (*to wait on someone or serve them)
他	other
伏	prostrated
伝	transmit
仏	Budha
休	rest
仮	provisional
伯	chief
俗	vulgar
信	faith
佳	excellent
依	reliant
例	example
個	individual
健	healthy
側	side
侍	waiter
停	halt
値	price
倣	emulate
倒	overthrow
偵	spy
僧	Buddhist priest
億	hundred million
儀	ceremony
償	reparation
仙	hermit
催	sponsor
仁	humanity
侮	scorn
使	use 
便	convenience
倍	double
優	tenderness
伐	fell
宿	inn
傷	wound
保	protect
褒	praise
傑	greatness
付	adhere
符	token
府	municipality
任	responisibility　[person...porter]
賃	fare
代	substitute
袋	sack
貸	lend
化	change
花	flower
貨	freight
傾	lean (on or towards something)
何	what
荷	baggage
俊	sagacious
傍	bystander
久	long-time
畝	furrow
囚	captured
内	inside
丙	third class
柄	design
肉	meat
腐	rot
座	sit
卒	graduate
傘	umbrella
匁	monme
以	by means of
似	similar
併	join
瓦	tile
瓶	flower pot
宮	Shinto shrine
営	occupation
善	virtuous
年	year
夜	night
液	fluid
塚	hillock
幣	cash
弊	abuse
喚	yell
換	interchange
融	dissolve
施	alms
旋	rotation
遊	play
旅	trip
勿	not (*knot)
物	thing
易	easy
賜	grant
尿	urine
尼	nun
泥	mud
塀	fence
履	footgear
屋	roof
握	grip
屈	yield
掘	dig
堀	ditch
居	reside
据	set
層	stratum
局	bureau
遅	slow
漏	leak
刷	printing
尺	shaku (*shakuhachi flute)
尽	exhaust
沢	swamp
訳	translate
択	choose
昼	daytime
戸	door
肩	shoulder
房	tassel
扇	fan
炉	hearth
戻	re-
涙	tears
雇	employ
顧	look back
啓	disclose
示	show (*altar, at left ->礼)
礼	salutation
祥	auspicious
祝	celebrate
福	blessing
祉	welfare
社	company
視	inspection
奈	Nara
尉	military officer
慰	consolation
款	goodwill
禁	prohobition
襟	collar
宗	religion　
崇	adore
祭	ritual
察	guess
擦	grate
由	wherefore (*shoot/sprout)
抽	pluck
油	oil
袖	sleeve
宙	mid-air
届	deliver
笛	flute
軸	axis
甲	armor (*roots)
押	push
岬	headland
挿	insert
申	speaketh (*monkey)
伸	expand
神	gods
捜	search
果	fruit
菓	candy
課	chapter
裸	naked
斤	ax
析	chop
所	place
祈	pray
近	near
折	fold
哲	philosophy
逝	departed
誓	vow [fold...words]
暫	temporarily
漸	steadily
断	severance
質	substance
斥	reject
訴	accusation
昨	yesterday
詐	lie
作	make
雪	snow
録	record
尋	inquire
急	hurry
穏	calm
侵	encroach
浸	immersed
寝	lie down
婦	lady
掃	sweep
当	hit ［little...broom］
争	contend
浄	clean
事	matter
唐	T'ang (Dynasty in china)
糖	sugar
康	sane
逮	apprehend
伊	Italy
君	old boy
群	flock
耐	-proof (i.e rustproof etc)
需	demand
儒	Confucian
端	edge
両	both
満	full
画	brush-stroke
歯	tooth
曲	bend
曹	cadet
遭	encounter
漕	rowing
槽	vat (tub, tank)
斗	Big Dipper (*measuring cup)
料	fee
科	department
図	map
用	utilize (*screwdriver)
庸	commonplace/ordinary
備	equip
昔	once upon a time
錯	confused
借	borrow
惜	pity
措	set aside
散	scatter
廿	twenty
庶	commoner
遮	intercept
席	seat
度	degrees
渡	transit
奔	bustle
噴	erupt
墳	tomb
憤	aroused
焼	bake
暁	daybreak
半	half
伴	consort
畔	paddy ridge
判	judgement
券	ticket
巻	scroll
圏	sphere
勝	victory
藤	wisteria
謄	facsimilie (mimeograph/copy)
片	one-sided (one part of the whole)
版	printing block
之	of (*building blocks with hiragana written on them)
乏	destitution
芝	turf
不	negative
否	negate
杯	cupfuls
矢	dart
矯	rectify
族	tribe
知	know
智	wisdom
矛	halberd
柔	tender
務	task
霧	fog
班	squad
帰	homecoming
弓	bow
引	pull
弔	condolences
弘	vast
強	strong
弱	weak
沸	seethe
費	expense
第	No.
弟	younger brother
巧	adroit
号	nickname
朽	decay
誇	boast
汚	dirty
与	bestow
写	copy
身	somebody
射	shoot
謝	apologize
老	old man
考	consider
孝	filial piety
教	teach　
拷	torture
者	someone (*puppet-on-a-string)
煮	boil
著	renowned
署	signature
暑	sultry
諸	various
猪	boar
渚	strand (beach/shoreline)
賭	gamble
峡	gorge
狭	cramped
挟	sandwiched
追	chase
師	expert
帥	commander
官	bureaucrat
棺	coffin
管	pipe
父	father
交	mingle
効	merit
較	contrast
校	exam 
足	leg
促	stimulate
距	long-distance
路	path	
露	dew
跳	hop
躍	leap
践	tread
踏	step
骨	skeleton
滑	slippery
髄	marrow
禍	calamity
渦	whirlpool
過	overdo
阪	Heights
阿	africa
際	occasion
障	hinder
随	follow
陪	auxiliary
陽	sunshine
陳	line up
防	ward off
附	affixed
院	Inst. (institution)
陣	camp
隊	regiment
墜	crash
降	descend
階	storey (story)
陛	highness
隣	neighboring
隔	isolate
隠	conceal
堕	degenerate
陥	collapse
穴	hole (*eight replaced with human legs)
空	empty
控	withdraw
突	stab
究	research
窒	plug up
窃	stealth
窪	depression
搾	squeeze
窯	kiln
窮	hard up
探	grope
深	deep
丘	hill
岳	Point
兵	soldier
浜	seacoast
糸	thread
織	weave
繕	darning
縮	shrink
繁	luxuriant
縦	vertical
線	line
締	tighten
維	fiber
羅	gauze
練	practise
緒	thong
続	continue
絵	picture
統	overall
絞	strangle
給	salary
絡	entwine
結	tie
終	end
級	class
紀	chronicle
紅	crimson
納	settlement
紡	spinning (of thread and other fibers)
紛	distract
紹	introduce
経	sutra (line, rule, formula, scriptures)
紳	sire (gentleman)
約	promise
細	dainty
累	accumulate
索	cord
総	general
綿	cotton
絹	silk
繰	winding
継	inherit
緑	green
縁	affinity
網	netting
緊	tense
紫	purple
縛	truss
縄	straw rope
幼	infancy
後	behind
幽	faint
幾	how many (*abacus)
機	mechanism
玄	mysterious
畜	livestock
蓄	amass
弦	bowstring
擁	hug
滋	nourishing (närande)
慈	mercy
磁	magnet
系	lineage (*yarn)
係	person in charge
孫	grandchild
懸	suspend
却	instead
脚	shins
卸	wholesale
御	honorable
服	clothing
命	fate
令	orders
零	zero
齢	age
冷	cool
領	jurisdiction　
鈴	small bell
勇	courage
通	traffic
踊	jump
疑	doubt
擬	mimic
凝	congeal
範	pattern
犯	crime
厄	unlucky
危	dangerous
宛	address
腕	arm
苑	garden
怨	grudge
柳	willow
卵	egg
留	detain
貿	trade
印	stamp
興	entertain
酉	sign of the bird (*whisky bottle/long necked bird)
酒	sake
酌	bartending
酵	fermentation
酷	cruel
酬	repay
酪	dairy products
酢	vinegar
酔	drunk
配	distribute
酸	acid
猶	waver, furthermore
尊	revered
豆	beans (*table)
頭	head
短	short
豊	bountiful
鼓	drum
喜	rejoice
樹	timber-trees
皿	dish
血	blood
盆	basin
盟	alliance
盗	steal
温	warm
監	oversee
濫	overflow
鑑	specimen
猛	fierce
盛	boom
塩	salt
銀	silver
恨	resentment
根	root
即	instant
爵	baron
節	node
退	retreat
限	limit
眼	eyeball
良	good (*saint's halo)
朗	melodius
浪	wandering
娘	daughter
食	eat (*eating/food)
飯	meal
飲	drink
飢	hungry
餓	starve
飾	decorate
館	Bldg. (building) 
養	foster
飽	sated
既	previously
概	outline
慨	rue
平	even (*water lily)
呼	call
坪	two-mat area (36 square feets, or about 2 tatami mats)
評	evaluate
刈	reap (skära)
希	hope
凶	villain
胸	bosom
離	detach
殺	kill
純	genuine
鈍	dull
辛	spicy
辞	resign
梓	catalpa
宰	superintend
壁	wall
